region_user,cell_type_label,gene,gene_role,source,confidence,notes
CP,D2/indirect-pathway SPN,Tac1,exclusion_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
CP,D2/indirect-pathway SPN,Pdyn,exclusion_marker,v6_published_marker_canonical,high,Canonical striatal D2 SPN markers (v6 list). Sp9 KEY for D2 lineage.
CP,Patch/striosome SPN,Oprm1,positive_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Tac1,positive_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Pdyn,positive_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Ppp1r1b,positive_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Pcdh8,positive_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Tacr1,positive_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Nnat,positive_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Gfra1,positive_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Calb1,exclusion_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Crym,exclusion_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Wfs1,exclusion_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Patch/striosome SPN,Adora2a,exclusion_marker,v6_published_marker_canonical,high,Patch/striosome markers (v6 list). Oprm1 (mu-opioid) KEY enrichment in patch (Crittenden & Graybiel 2011).
CP,Matrix/exopatch SPN,Ppp1r1b,positive_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Matrix/exopatch SPN,Foxp1,positive_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Matrix/exopatch SPN,Calb1,positive_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Matrix/exopatch SPN,Cnr1,positive_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Matrix/exopatch SPN,Crym,positive_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Matrix/exopatch SPN,Wfs1,positive_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Matrix/exopatch SPN,Ebf1,positive_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Matrix/exopatch SPN,Pdyn,exclusion_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Matrix/exopatch SPN,Oprm1,exclusion_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Matrix/exopatch SPN,Foxp2,exclusion_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Matrix/exopatch SPN,Tacr1,exclusion_marker,v6_published_marker_canonical,high,Matrix/exopatch markers (v6 list). Calb1+ Wfs1+ identifies matrix; lower Pdyn than patch.
CP,Cholinergic interneuron,Chat,positive_marker,v6_published_marker_canonical,high,ChAT-positive striatal interneurons (v6 list).
CP,Cholinergic interneuron,Slc5a7,positive_marker,v6_published_marker_canonical,high,ChAT-positive striatal interneurons (v6 list).
CP,Cholinergic interneuron,Slc18a3,positive_marker,v6_published_marker_canonical,high,ChAT-positive striatal interneurons (v6 list).
CP,Cholinergic interneuron,Isl1,positive_marker,v6_published_marker_canonical,high,ChAT-positive striatal interneurons (v6 list).
CP,Cholinergic interneuron,Lhx8,positive_marker,v6_published_marker_canonical,high,ChAT-positive striatal interneurons (v6 list).
CP,Cholinergic interneuron,Nkx2-1,positive_marker,v6_published_marker_canonical,high,ChAT-positive striatal interneurons (v6 list).
CP,Cholinergic interneuron,Drd1,exclusion_marker,v6_published_marker_canonical,high,ChAT-positive striatal interneurons (v6 list).
CP,Cholinergic interneuron,Drd2,exclusion_marker,v6_published_marker_canonical,high,ChAT-positive striatal interneurons (v6 list).
CP,Cholinergic interneuron,Slc17a7,exclusion_marker,v6_published_marker_canonical,high,ChAT-positive striatal interneurons (v6 list).
CP,PV/SST/NPY interneurons,Gad1,positive_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
CP,PV/SST/NPY interneurons,Gad2,positive_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
CP,PV/SST/NPY interneurons,Slc32a1,positive_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
CP,PV/SST/NPY interneurons,Sst,positive_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
CP,PV/SST/NPY interneurons,Pvalb,positive_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
CP,PV/SST/NPY interneurons,Npy,positive_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
CP,PV/SST/NPY interneurons,Nos1,positive_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
CP,PV/SST/NPY interneurons,Drd1,exclusion_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
CP,PV/SST/NPY interneurons,Drd2,exclusion_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
CP,PV/SST/NPY interneurons,Chat,exclusion_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
CP,PV/SST/NPY interneurons,Slc17a7,exclusion_marker,v6_published_marker_canonical,high,Striatal PV/SST/NPY/NOS interneurons (v6 list). Tepper 2010 review.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Slc17a7,positive_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Slc30a3,positive_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Tcf4,positive_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Meis2,positive_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Calb2,positive_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Dcn,positive_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Mpped1,positive_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Tac1,positive_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Cd36,positive_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Gpr101,positive_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Gad1,exclusion_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Gad2,exclusion_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Slc32a1,exclusion_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Slc17a6,exclusion_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,Posterior BMA glutamatergic / pallial amygdala VGLUT1,Drd1,exclusion_marker,v6_published_marker_canonical,high,VGLUT1 (Slc17a7+) BMA/pallial amygdala glutamatergic (v6 list). Gpr101 = amygdala-enriched orphan GPCR.
BMAp,BMA/MEA VGLUT2-like excitatory,Slc17a6,positive_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Slc6a1,positive_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Baiap3,positive_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Trh,positive_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Meis2,positive_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Krt9,positive_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Matn2,positive_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Tac1,positive_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Cartpt,positive_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Otp,positive_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Slc17a7,exclusion_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Gad1,exclusion_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,BMA/MEA VGLUT2-like excitatory,Slc32a1,exclusion_marker,v6_published_marker_canonical,moderate,VGLUT2 (Slc17a6+) BMA/MEA boundary glutamatergic (v6 list). Border population - spatially validate.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Gad1,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Gad2,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Slc32a1,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Penk,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Pax6,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Gpr88,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Ppp1r1b,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Foxp2,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Tshz1,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Lhx6,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Sox6,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Sp9,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Ebf1,positive_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Slc17a7,exclusion_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Slc17a6,exclusion_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Meis2,exclusion_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
BMAp,Amygdala GABA / striatal-like inhibitory neighbors,Calb2,exclusion_marker,v6_published_marker_canonical,high,sAMY-like striatal-style inhibitory NEIGHBORS (v6 list). NOT a BMAp target - use as CONTAMINATION/EXCLUSION control. BMAp != sAMY in Allen ontology. Striatum-like markers (Ppp1r1b/Gpr88/Foxp2/Penk) appear here but in sAMY-like neighboring populations not BMAp itself.
RE,Midline thalamic glutamatergic / reuniens,Slc17a6,positive_marker,v6_published_marker_canonical,high,Reuniens midline thalamic markers (v6 list). All Slc17a6+ midline thalamic glut.
RE,Midline thalamic glutamatergic / reuniens,Tcf7l2,positive_marker,v6_published_marker_canonical,high,Reuniens midline thalamic markers (v6 list). All Slc17a6+ midline thalamic glut.
RE,Midline thalamic glutamatergic / reuniens,Calb2,positive_marker,v6_published_marker_canonical,high,Reuniens midline thalamic markers (v6 list). All Slc17a6+ midline thalamic glut.
RE,Midline thalamic glutamatergic / reuniens,Pcp4,positive_marker,v6_published_marker_canonical,high,Reuniens midline thalamic markers (v6 list). All Slc17a6+ midline thalamic glut.
RE,Midline thalamic glutamatergic / reuniens,Spon1,positive_marker,v6_published_marker_canonical,high,Reuniens midline thalamic markers (v6 list). All Slc17a6+ midline thalamic glut.
RE,Midline thalamic glutamatergic / reuniens,Gad1,exclusion_marker,v6_published_marker_canonical,high,Reuniens midline thalamic markers (v6 list). All Slc17a6+ midline thalamic glut.
RE,Midline thalamic glutamatergic / reuniens,Gad2,exclusion_marker,v6_published_marker_canonical,high,Reuniens midline thalamic markers (v6 list). All Slc17a6+ midline thalamic glut.
RE,Midline thalamic glutamatergic / reuniens,Slc32a1,exclusion_marker,v6_published_marker_canonical,high,Reuniens midline thalamic markers (v6 list). All Slc17a6+ midline thalamic glut.
RE,Midline thalamic glutamatergic / reuniens,Pvalb,exclusion_marker,v6_published_marker_canonical,high,Reuniens midline thalamic markers (v6 list). All Slc17a6+ midline thalamic glut.
RE,Reticular/inhibitory thalamic exclusion,Gad1,positive_marker,v6_published_marker_canonical,high,Reticular thalamus (RT/ZI) GABA EXCLUSION (v6 list). Pvalb+ Sox14+ Dlx1/2+ = RT-derived inhibitory cells; use as exclusion control to confirm RE probes are NOT picking up RT/ZI.
RE,Reticular/inhibitory thalamic exclusion,Gad2,positive_marker,v6_published_marker_canonical,high,Reticular thalamus (RT/ZI) GABA EXCLUSION (v6 list). Pvalb+ Sox14+ Dlx1/2+ = RT-derived inhibitory cells; use as exclusion control to confirm RE probes are NOT picking up RT/ZI.
RE,Reticular/inhibitory thalamic exclusion,Slc32a1,positive_marker,v6_published_marker_canonical,high,Reticular thalamus (RT/ZI) GABA EXCLUSION (v6 list). Pvalb+ Sox14+ Dlx1/2+ = RT-derived inhibitory cells; use as exclusion control to confirm RE probes are NOT picking up RT/ZI.
RE,Reticular/inhibitory thalamic exclusion,Pvalb,positive_marker,v6_published_marker_canonical,high,Reticular thalamus (RT/ZI) GABA EXCLUSION (v6 list). Pvalb+ Sox14+ Dlx1/2+ = RT-derived inhibitory cells; use as exclusion control to confirm RE probes are NOT picking up RT/ZI.
RE,Reticular/inhibitory thalamic exclusion,Sox14,positive_marker,v6_published_marker_canonical,high,Reticular thalamus (RT/ZI) GABA EXCLUSION (v6 list). Pvalb+ Sox14+ Dlx1/2+ = RT-derived inhibitory cells; use as exclusion control to confirm RE probes are NOT picking up RT/ZI.
RE,Reticular/inhibitory thalamic exclusion,Dlx1,positive_marker,v6_published_marker_canonical,high,Reticular thalamus (RT/ZI) GABA EXCLUSION (v6 list). Pvalb+ Sox14+ Dlx1/2+ = RT-derived inhibitory cells; use as exclusion control to confirm RE probes are NOT picking up RT/ZI.
RE,Reticular/inhibitory thalamic exclusion,Dlx2,positive_marker,v6_published_marker_canonical,high,Reticular thalamus (RT/ZI) GABA EXCLUSION (v6 list). Pvalb+ Sox14+ Dlx1/2+ = RT-derived inhibitory cells; use as exclusion control to confirm RE probes are NOT picking up RT/ZI.
RE,Reticular/inhibitory thalamic exclusion,Slc17a6,exclusion_marker,v6_published_marker_canonical,high,Reticular thalamus (RT/ZI) GABA EXCLUSION (v6 list). Pvalb+ Sox14+ Dlx1/2+ = RT-derived inhibitory cells; use as exclusion control to confirm RE probes are NOT picking up RT/ZI.
