gene,A166,MSGS168,IDEAL178,standalone197,C245,standalone246,C246_Adrb1,ULTIMATE261,v6_232,v7_252,v8_237,d301,v11_lean296,v11_superset316,own_best_subclass,own_pct,own_mean_log2,anchor_pct,n_subclasses_ge50,level_verdict
Cckbr,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,91.7,6.44,74.2,13.0,strong in its own population
Ccn2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,330 VLMC NN,80.6,7.52,76.9,2.0,strong in its own population
Cd24a,False,False,False,False,False,False,False,False,False,False,False,True,True,True,078 SI-MA-ACB Ebf1 Bnc2 Gaba,47.9,3.11,33.7,0.0,high level in a minority of cells (sparse but real)
Cd44,True,True,False,False,True,True,True,False,False,False,False,True,False,False,058 PAL-STR Gaba-Chol,56.2,3.85,19.7,1.0,usable in its own population
Cdh6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,029 L6b CTX Glut,85.8,6.5,85.8,17.0,strong in its own population
Cdh8,False,False,False,False,False,False,False,False,False,True,True,False,True,True,084 BST-SI-AAA Six3 Slc22a3 Gaba,98.7,7.92,89.7,48.0,strong in its own population
Ces5a,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Chat,True,True,False,False,True,True,True,False,False,True,True,True,True,True,058 PAL-STR Gaba-Chol,84.4,7.36,12.2,1.0,strong in its own population
Chd2,False,False,True,True,True,True,True,True,True,False,False,True,True,True,077 CEA-BST Gal Avp Gaba,98.0,7.05,94.4,71.0,strong in its own population
Chrd,False,False,False,False,True,True,True,False,False,False,False,True,False,False,022 L5 ET CTX Glut,48.6,2.79,48.6,0.0,high level in a minority of cells (sparse but real)
Chrm1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,98.2,7.07,92.0,42.0,strong in its own population
Chrm2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,058 PAL-STR Gaba-Chol,98.1,8.68,90.7,26.0,strong in its own population
Chrm3,False,False,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,99.7,9.8,97.9,48.0,strong in its own population
Cldn5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,333 Endo NN,99.0,10.96,0.9,1.0,strong in its own population
Clic5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Clk1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,133 PVH-SO-PVa Otp Glut,89.0,5.6,85.4,71.0,strong in its own population
Clock,False,False,False,False,False,False,False,False,False,True,False,False,True,True,058 PAL-STR Gaba-Chol,96.9,6.57,96.8,66.0,strong in its own population
Cmbl,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Cnih3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,97.5,7.26,94.2,34.0,strong in its own population
Cnr1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,100.0,8.22,98.5,40.0,strong in its own population
Coch,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,63.4,3.97,56.7,3.0,usable in its own population
Col1a1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,330 VLMC NN,95.0,8.97,9.6,1.0,strong in its own population
Col23a1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,012 MEA Slc17a7 Glut,80.2,5.81,80.2,5.0,strong in its own population
Col6a1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,022 L5 ET CTX Glut,70.9,4.51,70.9,10.0,strong in its own population
Cox6a2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Creb1,False,False,True,False,False,False,False,False,True,True,True,False,True,True,058 PAL-STR Gaba-Chol,90.6,5.22,84.9,63.0,strong in its own population
Crem,False,False,True,True,True,True,True,True,True,True,True,True,True,True,005 L5 IT CTX Glut,64.1,3.86,64.1,14.0,usable in its own population
Crh,True,True,True,True,True,True,True,True,True,True,True,True,True,True,046 Vip Gaba,56.1,4.85,56.5,1.0,usable in its own population
Crhr1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,006 L4/5 IT CTX Glut,65.5,4.04,65.5,3.0,usable in its own population
Crispld1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,049 Lamp5 Gaba,79.5,6.03,77.0,2.0,strong in its own population
Crispld2,False,False,False,False,False,False,False,False,False,False,False,True,True,True,332 SMC NN,73.0,7.88,16.7,2.0,strong in its own population
Cry1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,013 COAp Grxcr2 Glut,63.3,3.77,36.6,1.0,usable in its own population
Cry2,False,False,False,False,False,False,False,False,False,True,False,False,True,True,058 PAL-STR Gaba-Chol,90.6,5.46,89.3,61.0,strong in its own population
Csf1r,False,False,False,False,False,False,False,False,False,False,False,False,False,True,334 Microglia NN,99.8,10.99,3.7,2.0,strong in its own population
Ctxn3,False,False,False,False,True,True,True,False,False,False,False,True,False,False,058 PAL-STR Gaba-Chol,32.5,1.77,15.8,0.0,too low to map reliably
Cux2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,007 L2/3 IT CTX Glut,94.7,7.38,94.7,30.0,strong in its own population
Cx3cr1,True,True,False,False,True,True,True,False,False,False,False,True,False,False,334 Microglia NN,100.0,12.27,15.0,1.0,strong in its own population
Dab2,False,False,False,False,False,False,False,True,False,False,False,False,True,True,,,,,,
Dbp,False,False,False,False,False,False,False,False,False,True,False,False,True,True,062 STR D2 Gaba,57.8,3.69,51.2,6.0,usable in its own population
Dcn,False,False,False,False,False,False,False,False,False,False,False,False,True,True,330 VLMC NN,99.3,10.88,6.8,1.0,strong in its own population
Ddc,False,False,False,False,False,False,False,False,False,True,False,False,False,False,079 CEA-BST Six3 Cyp26b1 Gaba,66.8,4.29,44.8,4.0,usable in its own population
Ddx3y,False,False,False,False,False,False,False,False,False,True,False,False,False,False,133 PVH-SO-PVa Otp Glut,65.4,4.71,61.7,24.0,usable in its own population
Dio3,False,False,False,False,False,False,False,False,False,False,False,True,True,True,037 DG Glut,38.5,2.43,30.8,0.0,high level in a minority of cells (sparse but real)
Dipk2a,False,False,False,False,False,False,False,True,False,False,False,True,False,False,026 NLOT Rho Glut,86.0,5.14,71.1,16.0,strong in its own population
Dlg4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,100.0,7.77,99.2,64.0,strong in its own population
Dlx1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,94.1,6.43,80.7,18.0,strong in its own population
Dmrta2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Dnah5,True,True,False,False,True,True,True,False,False,False,False,True,False,False,013 COAp Grxcr2 Glut,58.3,3.23,48.4,1.0,usable in its own population
Drd1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,061 STR D1 Gaba,96.7,7.89,67.2,12.0,strong in its own population
Drd2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,062 STR D2 Gaba,94.6,7.69,28.9,3.0,strong in its own population
Dusp1,False,False,True,True,True,True,True,True,True,True,True,True,True,True,332 SMC NN,82.8,7.64,54.5,8.0,strong in its own population
Dusp22,False,False,False,False,False,False,False,False,False,False,False,False,False,True,058 PAL-STR Gaba-Chol,84.4,4.83,67.1,44.0,strong in its own population
Dusp4,False,False,True,False,True,True,True,False,True,True,True,True,True,True,013 COAp Grxcr2 Glut,31.7,1.66,18.2,0.0,too low to map reliably
Dusp5,False,False,True,False,True,True,True,False,True,True,True,True,True,True,013 COAp Grxcr2 Glut,46.7,2.53,40.6,0.0,high level in a minority of cells (sparse but real)
E2f6,False,False,False,True,True,True,True,True,True,True,True,True,True,True,058 PAL-STR Gaba-Chol,77.5,4.06,63.5,30.0,strong in its own population
Ebf1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,332 SMC NN,99.7,10.77,73.3,7.0,strong in its own population
Egr1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,98.6,7.84,98.0,47.0,strong in its own population
Egr2,False,False,False,False,False,False,False,False,True,True,True,False,True,True,013 COAp Grxcr2 Glut,61.7,3.57,25.7,1.0,usable in its own population
Egr3,False,False,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,96.8,7.93,96.5,27.0,strong in its own population
Egr4,False,False,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,71.7,4.74,60.1,5.0,strong in its own population
Eif2s3y,False,False,False,False,False,False,False,False,False,True,False,False,False,False,012 MEA Slc17a7 Glut,57.8,3.57,57.8,12.0,usable in its own population
Elfn1,False,False,False,False,False,False,False,True,False,False,False,True,True,True,058 PAL-STR Gaba-Chol,91.9,6.02,84.1,16.0,strong in its own population
Emx1,True,True,False,False,True,True,True,False,False,False,False,True,False,False,013 COAp Grxcr2 Glut,61.7,3.5,41.2,1.0,usable in its own population
Ep300,False,False,False,True,True,True,True,True,True,True,True,True,True,True,133 PVH-SO-PVa Otp Glut,95.6,6.21,87.5,67.0,strong in its own population
Esr1,False,False,False,False,False,False,False,False,False,True,True,False,True,True,077 CEA-BST Gal Avp Gaba,92.8,7.0,79.4,12.0,strong in its own population
Etv1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,032 L5 NP CTX Glut,99.8,9.89,99.8,20.0,strong in its own population
Etv5,False,False,False,True,True,True,True,True,True,True,True,True,True,True,022 L5 ET CTX Glut,95.8,7.59,95.8,28.0,strong in its own population
Fam210b,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Fat1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Fbn2,False,False,False,False,False,False,False,True,False,False,False,True,True,True,026 NLOT Rho Glut,84.3,5.3,33.7,5.0,strong in its own population
Fezf1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120 MEA Otp Foxp2 Glut,71.7,4.49,71.7,2.0,strong in its own population
Fezf2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,022 L5 ET CTX Glut,94.1,7.13,94.1,6.0,strong in its own population
Fhl2,False,False,False,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,84.3,4.94,82.1,12.0,strong in its own population
Fos,True,True,True,True,True,True,True,True,True,True,True,True,True,True,332 SMC NN,87.9,9.77,62.4,11.0,strong in its own population
Fosb,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,71.7,4.56,34.5,3.0,strong in its own population
Fosl2,False,False,True,False,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,81.7,5.66,49.0,3.0,strong in its own population
Foxp1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,005 L5 IT CTX Glut,99.9,9.51,99.9,73.0,strong in its own population
Foxp2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,064 STR-PAL Chst9 Gaba,100.0,10.6,99.0,17.0,strong in its own population
Frem3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Frmd4b,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Fxr1,False,False,True,True,True,True,True,True,True,False,False,True,True,True,133 PVH-SO-PVa Otp Glut,96.3,6.79,88.2,64.0,strong in its own population
Gabbr1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,100.0,8.35,99.7,69.0,strong in its own population
Gabbr2,True,True,False,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,100.0,8.91,99.9,64.0,strong in its own population
Gabpa,False,False,False,False,True,True,True,False,False,False,False,True,False,False,026 NLOT Rho Glut,43.4,2.17,38.1,0.0,high level in a minority of cells (sparse but real)
Gabre,True,True,False,False,True,True,True,False,False,False,False,True,False,False,077 CEA-BST Gal Avp Gaba,91.8,6.72,32.0,1.0,strong in its own population
Gad1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,048 RHP-COA Ndnf Gaba,100.0,9.63,100.0,40.0,strong in its own population
Gad2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,048 RHP-COA Ndnf Gaba,100.0,11.11,100.0,40.0,strong in its own population
Galr1,True,True,False,False,True,True,True,False,False,True,True,True,True,True,077 CEA-BST Gal Avp Gaba,87.7,5.47,35.6,1.0,strong in its own population
Gfra1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,97.6,8.14,64.0,13.0,strong in its own population
Gjc3,False,False,False,False,False,False,False,False,False,False,False,False,True,True,327 Oligo NN,98.2,9.34,1.9,2.0,strong in its own population
Glipr1,False,False,False,False,True,True,True,False,False,False,False,True,False,False,026 NLOT Rho Glut,30.8,1.51,22.0,0.0,too low to map reliably
Glra3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,113 MEA-COA-BMA Ccdc42 Glut,96.1,7.55,96.1,31.0,strong in its own population
Gm10754,False,False,False,False,False,False,False,False,False,False,False,True,False,False,083 CEA-BST Rai14 Pdyn Crh Gaba,90.2,8.07,64.0,8.0,strong in its own population
Gm19410,False,False,False,False,False,False,False,True,False,False,False,False,False,False,022 L5 ET CTX Glut,94.8,7.08,94.8,4.0,strong in its own population
Gm2164,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Gphn,False,False,False,False,False,False,False,False,True,True,True,False,True,True,013 COAp Grxcr2 Glut,100.0,8.65,100.0,75.0,strong in its own population
Gpr101,True,True,True,True,True,True,True,True,True,True,True,True,True,True,122 LHA-MEA Otp Glut,91.6,6.99,78.8,11.0,strong in its own population
Gpr12,False,False,False,False,True,True,True,False,False,False,False,True,False,False,051 Pvalb chandelier Gaba,56.1,3.65,47.9,2.0,usable in its own population
Gpr149,False,False,False,False,False,False,False,True,False,False,False,True,True,True,063 STR D1 Sema5a Gaba,81.3,6.25,66.0,3.0,strong in its own population
Gpr158,False,False,False,False,False,False,False,False,True,True,True,False,True,True,013 COAp Grxcr2 Glut,100.0,9.6,99.9,65.0,strong in its own population
Gpr22,False,False,True,True,True,True,True,False,True,True,True,True,True,True,013 COAp Grxcr2 Glut,100.0,7.83,91.4,41.0,strong in its own population
Gpr26,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,98.2,7.17,85.8,25.0,strong in its own population
Gpr3,False,False,False,False,True,True,True,False,False,False,False,True,False,False,052 Pvalb Gaba,23.3,1.32,23.4,0.0,too low to map reliably
Gpr63,False,False,False,False,True,True,True,False,False,False,False,True,False,False,048 RHP-COA Ndnf Gaba,10.1,0.48,2.7,0.0,too low to map reliably
Gpr68,False,False,False,False,True,True,True,False,False,False,False,True,False,False,077 CEA-BST Gal Avp Gaba,51.3,2.78,43.6,1.0,usable in its own population
Gpr88,True,True,True,True,True,True,True,True,True,True,True,True,True,True,063 STR D1 Sema5a Gaba,100.0,9.43,75.3,21.0,strong in its own population
Gpx3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,133 PVH-SO-PVa Otp Glut,95.6,7.05,81.3,16.0,strong in its own population
Gria1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,002 IT EP-CLA Glut,100.0,10.21,100.0,67.0,strong in its own population
Gria2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,9.99,100.0,68.0,strong in its own population
Gria3,False,False,False,False,False,False,False,False,True,True,True,False,True,True,013 COAp Grxcr2 Glut,100.0,10.09,100.0,61.0,strong in its own population
Gria4,False,False,False,False,False,False,False,False,True,True,True,False,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,10.33,99.9,67.0,strong in its own population
Grin1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,100.0,8.11,99.2,65.0,strong in its own population
Grin2a,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,100.0,9.92,99.9,59.0,strong in its own population
Grin2b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,10.18,100.0,67.0,strong in its own population
Grin3a,False,False,False,False,False,False,False,True,True,True,True,True,True,True,026 NLOT Rho Glut,100.0,9.06,97.6,44.0,strong in its own population
Grm1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,035 OB Eomes Ms4a15 Glut,100.0,10.77,98.2,57.0,strong in its own population
Grm2,False,False,True,False,False,False,False,False,False,True,True,False,True,True,006 L4/5 IT CTX Glut,70.6,4.44,70.6,2.0,strong in its own population
Grm3,False,False,False,False,False,False,False,False,True,True,True,False,True,True,319 Astro-TE NN,98.8,10.68,97.9,46.0,strong in its own population
Grm5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,9.64,100.0,64.0,strong in its own population
Grm7,False,False,False,False,False,False,False,False,True,True,True,False,True,True,010 IT AON-TT-DP Glut,100.0,9.95,100.0,64.0,strong in its own population
Grm8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,064 STR-PAL Chst9 Gaba,99.6,10.19,98.7,43.0,strong in its own population
H2-Q2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Hcrtr1,True,True,False,False,True,True,True,False,False,False,False,True,False,False,026 NLOT Rho Glut,16.4,0.76,15.9,0.0,too low to map reliably
Hcrtr2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,050 Lamp5 Lhx6 Gaba,89.2,7.64,67.3,5.0,strong in its own population
Hhip,False,False,False,False,False,False,False,False,False,False,False,True,True,True,327 Oligo NN,77.5,6.15,4.4,1.0,strong in its own population
Hivep1,False,False,False,True,True,True,True,True,True,True,True,True,True,True,029 L6b CTX Glut,90.0,6.55,90.0,39.0,strong in its own population
Hnrnpll,False,False,False,False,False,False,False,False,False,False,False,False,False,True,029 L6b CTX Glut,87.5,6.2,87.5,57.0,strong in its own population
Homer1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,9.86,99.6,61.0,strong in its own population
Hpse,False,False,False,False,False,False,False,True,False,False,False,True,True,True,053 Sst Gaba,10.8,0.7,11.1,0.0,too low to map reliably
Hrh1,False,False,True,True,True,True,True,True,True,True,True,True,True,True,120 MEA Otp Foxp2 Glut,70.2,4.14,70.2,14.0,strong in its own population
Hrh3,False,False,True,True,True,True,True,True,True,True,True,True,True,True,006 L4/5 IT CTX Glut,81.1,5.54,81.1,19.0,strong in its own population
Hs3st1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,013 COAp Grxcr2 Glut,70.0,4.1,45.9,4.0,strong in its own population
Hsd17b12,False,False,False,True,True,True,True,True,True,False,False,True,True,True,058 PAL-STR Gaba-Chol,90.6,5.7,74.5,57.0,strong in its own population
Hsf5,False,False,False,False,True,True,True,False,False,False,False,True,False,False,058 PAL-STR Gaba-Chol,24.4,1.09,20.1,0.0,too low to map reliably
Hspa5,False,False,False,True,True,True,True,True,True,False,False,True,True,True,133 PVH-SO-PVa Otp Glut,100.0,8.0,87.4,67.0,strong in its own population
Htr1a,True,True,False,False,True,True,True,False,False,True,True,True,True,True,058 PAL-STR Gaba-Chol,63.1,3.59,28.3,1.0,usable in its own population
Htr1b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,88.1,5.33,51.9,7.0,strong in its own population
Htr1f,True,True,True,True,True,True,True,True,True,True,True,True,True,True,064 STR-PAL Chst9 Gaba,96.9,9.16,93.7,27.0,strong in its own population
Htr2a,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,96.8,7.75,78.6,15.0,strong in its own population
Htr2c,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120 MEA Otp Foxp2 Glut,98.3,9.19,98.3,35.0,strong in its own population
Htr6,False,False,False,False,True,True,True,False,False,False,False,True,False,False,083 CEA-BST Rai14 Pdyn Crh Gaba,8.9,0.45,5.2,0.0,too low to map reliably
Hunk,False,False,False,True,True,True,True,True,True,True,True,True,True,True,133 PVH-SO-PVa Otp Glut,68.4,4.04,63.4,8.0,usable in its own population
Ier2,False,False,False,False,False,False,False,False,True,True,True,False,True,True,334 Microglia NN,74.1,7.24,32.1,5.0,strong in its own population
Igf1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,047 Sncg Gaba,95.2,8.25,94.8,9.0,strong in its own population
