name_in_sow,kind,page,verbatim_quote,mouse_gene_symbols,is_endogenous_mouse_gene,reader_confidence,verifier_CONFIRMED,verifier_REJECTED,rejection_reason
immediate-early (genes),gene_class_mention,1,"early like Fos and Arc, clock genes like PER2, and pCREB-target genes) under both volitional and passive","Fos, Fosb, Arc, Egr1, Egr2, Egr3, Junb, Jun, Npas4, Nr4a1, Bdnf",True,high,0,0,
pCREB-target genes,gene_class_mention,1,"early like Fos and Arc, clock genes like PER2, and pCREB-target genes) under both volitional and passive","Fos, Bdnf, Nr4a1, Per1, Sik1, Vgf, Crem, Egr1",True,high,0,0,
"provisional panel pilot (SATB2 identity, FOS, PER2)",gene_class_mention,4,"provisional panel pilot  (SATB2 identity, FOS, PER2) on","Satb2, Fos, Per2",True,high,0,0,
small (3–5 gene) cell-type marker panel,gene_class_mention,2,"active from passive animals at the ~24 h post-test window, yielding a small (3–5 gene) cell-type",,False,high,0,0,
small marker-gene panel,gene_class_mention,1,"validate (rat RNAscope/IHC of a small marker-gene panel) the activation of the BMA, ORB, and IT/CT",,False,high,0,0,
"the same GPCRs (e.g., β1-adrenergic, 5-HT2A)",gene_class_mention,2,"IT/CT-class principal cells sharing the same GPCRs (e.g., β1-adrenergic, 5-HT2A) is resolved at","Adrb1, Htr2a",True,high,0,0,
SABV (sex as a biological variable),other,4,SABV M: Both sexes included throughout; a dedicated sex-,,False,high,0,0,
SABV — Both sexes included throughout,other,4,SABV M: Both sexes included throughout; a dedicated sex-,,False,high,1,0,
Sex as a biological variable (SABV),other,4,SABV M: Both sexes included throughout; a dedicated sex-,,False,high,4,0,
circadian (ZT) cohort removed from scope,other,5,"(ZT) cohort have been removed from scope. Circadian, sleep, and basic executive-function measures",,False,high,0,0,
5-HT2A,protein_or_receptor_name,2,"IT/CT-class principal cells sharing the same GPCRs (e.g., β1-adrenergic, 5-HT2A) is resolved at",Htr2a,True,high,5,0,
"mu-opioid-receptor (""largely mu-opioid-receptor-negative"")",protein_or_receptor_name,1,"areas, largely mu-
opioid-receptor-negative — undergoes opioid-induced transcriptional reprogramming (immediate-",Oprm1,True,high,2,0,
"mu-opioid-receptor (as in ""mu-opioid-receptor-negative"")",protein_or_receptor_name,1,"areas, largely mu-
opioid-receptor-negative",Oprm1,True,high,2,0,
mu-opioid-receptor-negative,protein_or_receptor_name,1,"anterior cingulate (ACA), infralimbic (ILA), prelimbic (PL), and orbitofrontal (ORB) areas, largely mu-",Oprm1,True,high,1,0,
pCREB,protein_or_receptor_name,1,"early like Fos and Arc, clock genes like PER2, and pCREB-target genes) under both volitional and passive",Creb1,True,high,3,0,
"pCREB (in ""pCREB-target genes"")",protein_or_receptor_name,1,"early like Fos and Arc, clock genes like PER2, and pCREB-target genes)",Creb1,True,high,2,0,
β1-adrenergic,protein_or_receptor_name,2,"IT/CT-class principal cells sharing the same GPCRs (e.g., β1-adrenergic, 5-HT2A) is resolved at",Adrb1,True,high,5,0,
TRAP2,reporter_or_construct,2,ORB via TRAP2 or population-selective enhancer-AAV,Fos,False,medium,5,0,
TRAP2,reporter_or_construct,3,"TRAP2 capture efficiency, or an enhancer-AAV that labels the population specifically enough to",,False,high,5,0,
"TRAP2 (colony build, Aim 2 prep)",reporter_or_construct,3,tissue collection for the fentanyl cohort (1c); and Aim 2 genetic-access preparation — TRAP2 colony /,Fos,False,medium,2,0,
TRAP2 / hM4Di / hM3Dq (milestone 2a),reporter_or_construct,4,"2a M:      Chemogenetic manipulation (TRAP2 or cell-type-
selective enhancer-AAV + hM4Di / hM3Dq) of the identified",,False,high,2,0,
TRAP2 colony / enhancer-AAV construction,reporter_or_construct,3,tissue collection for the fentanyl cohort (1c); and Aim 2 genetic-access preparation — TRAP2 colony /,,False,high,1,0,
cell-type-selective enhancer-AAV,reporter_or_construct,2,"Following cell-type identification, chemogenetic manipulation (TRAP2 or cell-type-selective enhancer-",,False,high,0,0,
enhancer-AAV,reporter_or_construct,2,ORB via TRAP2 or population-selective enhancer-AAV,,False,high,1,0,
enhancer-AAV / enhancer-AAVs,reporter_or_construct,2,IT/CT with the enhancer-AAVs already validated in mouse and rat,,False,high,2,0,
enhancer-AAVs already validated in mouse and rat,reporter_or_construct,2,IT/CT with the enhancer-AAVs already validated in mouse and rat,,False,high,1,0,
hM3Dq,reporter_or_construct,4,selective enhancer-AAV + hM4Di / hM3Dq) of the identified,,False,high,3,0,
hM4Di,reporter_or_construct,4,selective enhancer-AAV + hM4Di / hM3Dq) of the identified,,False,high,3,0,
hM4Di / hM3Dq,reporter_or_construct,2,"Following cell-type identification, chemogenetic manipulation (TRAP2 or cell-type-selective enhancer-
AAV with hM4Di / hM3Dq) of the identified cortical and amygdalar populations tests their necessity and",,False,high,2,0,
new viral preparations,reporter_or_construct,4,new viral preparations are ordered for chemogenetic,,False,high,1,0,
