order_rank,gene,block,serves,why,max_pct,max_mean,max_spec_panel,tenx_ensembl_ids,tenx_designable_matches,tenx_on_no_probe_list,ncbi_gene_id,ncbi_description,ncbi_gene_type,ncbi_nomenclature_status,ncbi_modified,gtf_ensembl_ids,gtf_gene_types,gtf_transcript_count,gtf_transcript_types,allen_max_pct_full,allen_max_pct_anchor,allen_median_pct_across_anchors,allen_n_anchors_ge50,allen_max_pct_ORBm,allen_max_pct_BMAp,target_type,symbol_qc,tenx_design_qc,isoform_qc,detectability_tier,overall_pre_vendor_status
11,Syt6,1_celltype_separator,030 L6 CT CTX Glut :: L6 CT / L6b,UNIQUE separator for 030 L6 CT CTX Glut,91.71,6.9,3.76,ENSMUSG00000027849,1.0,False,54524,synaptotagmin VI,protein-coding,O,20260818,ENSMUSG00000027849,protein_coding,10.0,nonsense_mediated_decay; protein_coding,91.70745350300658,030 L6 CT CTX Glut,7.505600513763811,1.0,91.70745350300658,37.15188056273328,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
12,Foxp2,1_celltype_separator,120 MEA Otp Foxp2 Glut :: BMA/MEA VGLUT2-like excitatory | deep_and_amygdala | 030 L6 CT CTX Glut :: L6 CT / L6b | deep_and_amygdala,UNIQUE separator for 120 MEA Otp Foxp2 Glut,99.0,9.27,3.5,ENSMUSG00000029563,1.0,False,114142,forkhead box P2,protein-coding,O,20260825,ENSMUSG00000029563,protein_coding,20.0,lncRNA; nonsense_mediated_decay; protein_coding; retained_intron,99.00265957446808,120 MEA Otp Foxp2 Glut,14.90082877716477,5.0,98.67151447350021,99.00265957446808,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
13,Skor1,1_celltype_separator,119 SI-MA-LPO-LHA Skor1 Glut :: BMA/MEA VGLUT2-like excitatory | boundary,UNIQUE separator for 119 SI-MA-LPO-LHA Skor1 Glut,53.58,3.15,3.14,ENSMUSG00000022245,1.0,False,207667,SKI family transcriptional corepressor 1,protein-coding,O,20260807,ENSMUSG00000022245,protein_coding,3.0,protein_coding,53.57798165137615,119 SI-MA-LPO-LHA Skor1 Glut,0.1143005386258713,1.0,0.2091321017776229,53.57798165137615,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
14,Otof,1_celltype_separator,007 L2/3 IT CTX Glut :: L2/3 IT excitatory | PFC_L2_3,UNIQUE separator for 007 L2/3 IT CTX Glut,46.51,2.92,2.46,ENSMUSG00000062372,1.0,False,83762,otoferlin,protein-coding,O,20260910,ENSMUSG00000062372,protein_coding,5.0,protein_coding; retained_intron,71.54255319148936,120 MEA Otp Foxp2 Glut,6.026800872038092,4.0,46.51031683391589,71.54255319148936,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
15,Rorb,1_celltype_separator,006 L4/5 IT CTX Glut :: L4/5 IT excitatory | cortical_L4_5,UNIQUE separator for 006 L4/5 IT CTX Glut,96.38,8.55,2.23,ENSMUSG00000036192,1.0,False,225998,RAR-related orphan receptor beta,protein-coding,O,20260910,ENSMUSG00000036192,protein_coding,5.0,protein_coding; retained_intron,96.37507066139062,006 L4/5 IT CTX Glut,12.94331090649434,3.0,96.37507066139062,55.62248995983936,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
16,Oprk1,1_celltype_separator,004 L6 IT CTX Glut :: L6 CT / L6b | 004 L6 IT CTX Glut | receptor | receptor | 119 SI-MA-LPO-LHA Skor1 Glut,UNIQUE separator for 004 L6 IT CTX Glut,39.27,2.46,2.05,ENSMUSG00000025905,1.0,False,18387,"opioid receptor, kappa 1",protein-coding,O,20260910,ENSMUSG00000025905,protein_coding,6.0,protein_coding; retained_intron,39.26605504587156,119 SI-MA-LPO-LHA Skor1 Glut,4.845292458657394,0.0,37.40518609984125,39.26605504587156,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,MODERATE_20-50pct,PASS_PRE_VENDOR_QC
17,Ccdc42,1_celltype_separator,113 MEA-COA-BMA Ccdc42 Glut :: Posterior BMA glutamatergic / pallial amygdala VGLUT1,UNIQUE separator for 113 MEA-COA-BMA Ccdc42 Glut,47.98,2.73,1.87,ENSMUSG00000045915,1.0,False,276920,coiled-coil domain containing 42,protein-coding,O,20260812,ENSMUSG00000045915,protein_coding,3.0,protein_coding,47.98011187072716,113 MEA-COA-BMA Ccdc42 Glut,0.9649484729353456,0.0,1.131477709889115,47.98011187072716,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,MODERATE_20-50pct,PASS_PRE_VENDOR_QC
18,Lamp5,1_celltype_separator,049 Lamp5 Gaba :: Cortical interneurons,UNIQUE separator for 049 Lamp5 Gaba,91.49,7.97,1.53,ENSMUSG00000027270,1.0,False,76161,"lysosomal-associated membrane protein family, member 5",protein-coding,O,20260910,ENSMUSG00000027270,protein_coding,5.0,lncRNA; protein_coding; retained_intron,91.49209063702438,049 Lamp5 Gaba,27.03585257364118,6.0,91.49209063702438,69.26500143554406,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
19,Sox6,1_celltype_separator,073 MEA-BST Sox6 Gaba :: Amygdala GABA / striatal-like inhibitory neighbors | interneuron_MGE,UNIQUE separator for 073 MEA-BST Sox6 Gaba,58.17,5.02,1.22,ENSMUSG00000051910,1.0,False,20679,SRY (sex determining region Y)-box 6,protein-coding,O,20260910,ENSMUSG00000051910,protein_coding,16.0,lncRNA; protein_coding; retained_intron,94.49285465318926,052 Pvalb Gaba,4.774514327080677,3.0,94.49285465318926,58.17346352670879,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
20,Bdnf,1_celltype_separator,005 L5 IT CTX Glut :: L5 IT / L5 ET/PT output neurons | plasticity | plasticity,UNIQUE separator for 005 L5 IT CTX Glut,84.16,6.24,1.17,ENSMUSG00000048482,1.0,False,12064,brain derived neurotrophic factor,protein-coding,O,20260910,ENSMUSG00000048482,protein_coding,11.0,protein_coding,84.15931206155238,005 L5 IT CTX Glut,36.95719725257887,9.0,84.15931206155238,70.08493888543609,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
21,Tac1,1_celltype_separator,052 Pvalb Gaba :: Cortical interneurons | VGLUT1_subtype,UNIQUE separator for 052 Pvalb Gaba,70.06,5.78,5.45,ENSMUSG00000061762,1.0,False,21333,tachykinin 1,protein-coding,O,20260910,ENSMUSG00000061762,protein_coding,5.0,lncRNA; protein_coding,70.05925409550366,052 Pvalb Gaba,3.778274895676577,2.0,70.05925409550366,50.44110818758706,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
22,Nfib,1_celltype_separator,012 MEA Slc17a7 Glut :: Posterior BMA glutamatergic / pallial amygdala VGLUT1 | patterning | patterning,UNIQUE separator for 012 MEA Slc17a7 Glut,99.97,10.15,5.42,ENSMUSG00000008575,1.0,False,18028,nuclear factor I/B,protein-coding,O,20260901,ENSMUSG00000008575,protein_coding,12.0,lncRNA; protein_coding; retained_intron,99.97325488098421,022 L5 ET CTX Glut,83.63360906466514,11.0,99.97325488098421,92.92168674698796,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
23,Cbln1,1_celltype_separator,121 MEA-BST Otp Zic2 Glut :: BMA/MEA VGLUT2-like excitatory | adhesion | adhesion,UNIQUE separator for 121 MEA-BST Otp Zic2 Glut,65.9,4.91,4.53,ENSMUSG00000031654,1.0,False,12404,cerebellin 1 precursor protein,protein-coding,O,20260910,ENSMUSG00000031654,protein_coding,3.0,lncRNA; protein_coding,65.89641434262948,121 MEA-BST Otp Zic2 Glut,3.436571436478039,1.0,33.65672958193685,65.89641434262948,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
24,Tcf7l2,1_celltype_separator,119 SI-MA-LPO-LHA Skor1 Glut :: BMA/MEA VGLUT2-like excitatory | thalamic,UNIQUE separator for 119 SI-MA-LPO-LHA Skor1 Glut,44.82,4.57,4.45,ENSMUSG00000024985,1.0,False,21416,"transcription factor 7 like 2, T cell specific, HMG box",protein-coding,O,20260910,ENSMUSG00000024985,protein_coding,22.0,lncRNA; protein_coding; retained_intron,44.81651376146789,119 SI-MA-LPO-LHA Skor1 Glut,0.8091753913270507,0.0,0.8681925808997633,44.81651376146789,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,MODERATE_20-50pct,PASS_PRE_VENDOR_QC
25,Sp9,1_celltype_separator,074 MEA-BST Lhx6 Sp9 Gaba :: Amygdala GABA / striatal-like inhibitory neighbors | interneuron_striatal,UNIQUE separator for 074 MEA-BST Lhx6 Sp9 Gaba,79.0,5.2,4.42,ENSMUSG00000068859,1.0,False,381373,trans-acting transcription factor 9,protein-coding,O,20260910,ENSMUSG00000068859,protein_coding,2.0,lncRNA; protein_coding,78.99705927874942,074 MEA-BST Lhx6 Sp9 Gaba,1.98589693538942,2.0,51.16765423492507,78.99705927874942,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
26,Ndnf,1_celltype_separator,049 Lamp5 Gaba :: Cortical interneurons,UNIQUE separator for 049 Lamp5 Gaba,54.47,4.85,4.32,ENSMUSG00000049001,1.0,False,68169,neuron-derived neurotrophic factor,protein-coding,O,20260910,ENSMUSG00000049001,protein_coding,2.0,protein_coding; retained_intron,54.46772124839675,049 Lamp5 Gaba,1.234659962023593,1.0,54.46772124839675,17.98165137614679,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
27,Trhr,1_celltype_separator,032 L5 NP CTX Glut :: L5 IT / L5 ET/PT output neurons,UNIQUE separator for 032 L5 NP CTX Glut,71.16,5.32,4.29,ENSMUSG00000038760,1.0,False,22045,thyrotropin releasing hormone receptor,protein-coding,O,20260910,ENSMUSG00000038760,protein_coding,4.0,nonsense_mediated_decay; protein_coding,87.27409638554217,012 MEA Slc17a7 Glut,10.37520132489105,4.0,71.16349047141425,87.27409638554217,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
28,Calb2,1_celltype_separator,046 Vip Gaba :: Cortical interneurons | VGLUT1_posterior_BMA,UNIQUE separator for 046 Vip Gaba,91.16,7.27,4.24,ENSMUSG00000003657,1.0,False,12308,calbindin 2,protein-coding,O,20260910,ENSMUSG00000003657,protein_coding,2.0,protein_coding,91.15691489361703,120 MEA Otp Foxp2 Glut,9.396553321221617,6.0,64.63228562709796,91.15691489361703,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
29,Ccn2,1_celltype_separator,029 L6b CTX Glut :: L6 CT / L6b,UNIQUE separator for 029 L6b CTX Glut,76.92,6.14,4.14,ENSMUSG00000019997,1.0,False,14219,cellular communication network factor 2,protein-coding,O,20260910,ENSMUSG00000019997,protein_coding,3.0,protein_coding,76.92307692307693,029 L6b CTX Glut,1.166644612767602,1.0,76.92307692307693,0.8256880733944955,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
30,Npr3,1_celltype_separator,022 L5 ET CTX Glut :: L5 IT / L5 ET/PT output neurons | PFC_deep_L5,UNIQUE separator for 022 L5 ET CTX Glut,70.77,4.49,3.44,ENSMUSG00000022206,1.0,False,18162,natriuretic peptide receptor 3,protein-coding,O,20260910,ENSMUSG00000022206,protein_coding,5.0,lncRNA; protein_coding,70.76758491575288,022 L5 ET CTX Glut,8.228606557299189,2.0,70.76758491575288,50.40160642570282,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
31,Prox1,1_celltype_separator,073 MEA-BST Sox6 Gaba :: Amygdala GABA / striatal-like inhibitory neighbors | CGE_interneuron | CGE_interneuron,UNIQUE separator for 073 MEA-BST Sox6 Gaba,89.32,7.58,2.76,ENSMUSG00000010175,1.0,False,19130,prospero homeobox 1,protein-coding,O,20260901,ENSMUSG00000010175,protein_coding,3.0,protein_coding,89.31949954226427,046 Vip Gaba,1.388714315821108,3.0,89.31949954226427,56.99023549684089,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
32,Penk,1_celltype_separator,113 MEA-COA-BMA Ccdc42 Glut :: Posterior BMA glutamatergic / pallial amygdala VGLUT1 | peptide | peptide,UNIQUE separator for 113 MEA-COA-BMA Ccdc42 Glut,75.68,5.2,2.93,ENSMUSG00000045573,1.0,False,18619,preproenkephalin,protein-coding,O,20260910,ENSMUSG00000045573,protein_coding,2.0,protein_coding,75.67847524342241,113 MEA-COA-BMA Ccdc42 Glut,10.72386443648417,2.0,60.51266402197132,75.67847524342241,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
33,Baiap3,1_celltype_separator,053 Sst Gaba :: Cortical interneurons | amygdala_hypothalamic,UNIQUE separator for 053 Sst Gaba,97.74,7.63,2.16,ENSMUSG00000047507,1.0,False,545192,BAI1-associated protein 3,protein-coding,O,20260910,ENSMUSG00000047507,protein_coding,9.0,protein_coding; retained_intron,97.73936170212765,120 MEA Otp Foxp2 Glut,11.08697425671258,7.0,42.06806769574112,97.73936170212765,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
34,Pdyn,1_celltype_separator,082 CEA-BST Ebf1 Pdyn Gaba :: Amygdala GABA / striatal-like inhibitory neighbors | peptide | peptide,UNIQUE separator for 082 CEA-BST Ebf1 Pdyn Gaba,63.05,4.61,2.12,ENSMUSG00000027400,1.0,False,18610,prodynorphin,protein-coding,O,20260910,ENSMUSG00000027400,protein_coding,3.0,protein_coding; retained_intron,63.04909560723514,082 CEA-BST Ebf1 Pdyn Gaba,4.640903061788438,1.0,28.93223587777652,63.04909560723514,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
35,Rspo2,1_celltype_separator,004 L6 IT CTX Glut :: L6 CT / L6b | BLA_exclusion,UNIQUE separator for 004 L6 IT CTX Glut,88.09,6.43,2.03,ENSMUSG00000051920,1.0,False,239405,R-spondin 2,protein-coding,O,20260910,ENSMUSG00000051920,protein_coding,3.0,protein_coding; retained_intron,88.09313811959781,004 L6 IT CTX Glut,17.10977488156083,4.0,88.09313811959781,11.77208835341366,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
36,Cux2,1_celltype_separator,007 L2/3 IT CTX Glut :: L2/3 IT excitatory | cortical_upper,UNIQUE separator for 007 L2/3 IT CTX Glut,94.73,7.38,2.0,ENSMUSG00000042589,1.0,False,13048,cut-like homeobox 2,protein-coding,O,20260818,ENSMUSG00000042589,protein_coding,11.0,lncRNA; protein_coding; retained_intron,94.73446837298455,007 L2/3 IT CTX Glut,34.62488952875889,5.0,94.73446837298455,47.09163346613546,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
37,Coch,1_celltype_separator,006 L4/5 IT CTX Glut :: L4/5 IT excitatory,UNIQUE separator for 006 L4/5 IT CTX Glut,56.74,3.43,1.86,ENSMUSG00000020953,1.0,False,12810,cochlin,protein-coding,O,20260818,ENSMUSG00000020953,protein_coding,4.0,protein_coding; retained_intron,56.74109666478236,006 L4/5 IT CTX Glut,8.918627278621791,1.0,56.74109666478236,35.04016064257029,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
38,Otp,1_celltype_separator,120 MEA Otp Foxp2 Glut :: BMA/MEA VGLUT2-like excitatory | amygdala_hypothalamic,UNIQUE separator for 120 MEA Otp Foxp2 Glut,97.87,7.97,0.69,ENSMUSG00000021685,1.0,False,18420,orthopedia homeobox,protein-coding,O,20260910,ENSMUSG00000021685,protein_coding,2.0,lncRNA; protein_coding,97.87234042553192,120 MEA Otp Foxp2 Glut,0.1232009386241002,2.0,0.1891551071878941,97.87234042553192,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
39,iCre,2_reporter_transgene,driver,Fos2A-iCreER driver transcript. Independent readout of the same tagged cells if tdTomato reads weakly.,,,,,,,,,,,,,,,,,,,,,,ADVANCED_EXOGENOUS,NOT_APPLICABLE_EXOGENOUS,ADVANCED_FASTA_REQUIRED,EXACT_CONSTRUCT_SEQUENCE_REQUIRED,NOT_IN_ALLEN,BLOCKED_EXACT_FASTA_REQUIRED
